$ py main_bsc.py ber
165 / 600 回目,  0 0, FSCL: 0.12766 SCL 3.33405
166 / 600 回目,  0 0, FSCL: 0.11571 SCL 3.22337
167 / 600 回目,  0 0, FSCL: 0.14960 SCL 3.35801
168 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.37497
169 / 600 回目,  0 0, FSCL: 0.11469 SCL 3.41885
170 / 600 回目,  0 0, FSCL: 0.12766 SCL 3.32610
171 / 600 回目,  0 0, FSCL: 0.12167 SCL 3.34006
172 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.27222
173 / 600 回目,  1 1, FSCL: 0.11970 SCL 3.38891
174 / 600 回目,  1 1, FSCL: 0.11968 SCL 3.32111
175 / 600 回目,  0 0, FSCL: 0.11771 SCL 3.32312
176 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.33008
177 / 600 回目,  0 0, FSCL: 0.11772 SCL 3.27719
178 / 600 回目,  0 0, FSCL: 0.13865 SCL 3.35101
179 / 600 回目,  0 0, FSCL: 0.11472 SCL 3.37098
180 / 600 回目,  0 0, FSCL: 0.19146 SCL 3.26728
181 / 600 回目,  0 0, FSCL: 0.11469 SCL 3.42982
182 / 600 回目,  0 0, FSCL: 0.19548 SCL 3.32213
183 / 600 回目,  0 0, FSCL: 0.12469 SCL 3.31610
184 / 600 回目,  0 0, FSCL: 0.13262 SCL 3.33308
185 / 600 回目,  0 0, FSCL: 0.15259 SCL 3.38693
186 / 600 回目,  0 0, FSCL: 0.13663 SCL 3.42583
187 / 600 回目,  0 0, FSCL: 0.17054 SCL 3.34804
188 / 600 回目,  0 0, FSCL: 0.11569 SCL 3.40289
189 / 600 回目,  1 1, FSCL: 0.12170 SCL 3.41288
190 / 600 回目,  0 0, FSCL: 0.11768 SCL 3.42184
191 / 600 回目,  0 0, FSCL: 0.12168 SCL 3.33609
192 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.34407
193 / 600 回目,  0 0, FSCL: 0.11473 SCL 3.34904
194 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.33009
195 / 600 回目,  0 0, FSCL: 0.11274 SCL 3.33005
196 / 600 回目,  0 0, FSCL: 0.13663 SCL 3.92847
197 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.24733
198 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.40091
199 / 600 回目,  0 0, FSCL: 0.13165 SCL 3.21542
200 / 600 回目,  0 0, FSCL: 0.13763 SCL 3.33610
201 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.33507
202 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.27422
203 / 600 回目,  0 0, FSCL: 0.11270 SCL 3.41988
204 / 600 回目,  0 0, FSCL: 0.12067 SCL 3.34305
205 / 600 回目,  0 0, FSCL: 0.12669 SCL 3.64422
206 / 600 回目,  0 0, FSCL: 0.13065 SCL 3.26327
207 / 600 回目,  0 0, FSCL: 0.12367 SCL 3.31114
208 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.25728
209 / 600 回目,  0 0, FSCL: 0.11965 SCL 3.35003
210 / 600 回目,  0 0, FSCL: 0.12564 SCL 3.33407
211 / 600 回目,  0 0, FSCL: 0.12868 SCL 3.41085
212 / 600 回目,  1 1, FSCL: 0.12564 SCL 3.51462
213 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.59538
214 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.58042
215 / 600 回目,  0 0, FSCL: 0.15658 SCL 3.48866
216 / 600 回目,  1 1, FSCL: 0.12666 SCL 3.52058
217 / 600 回目,  1 1, FSCL: 0.11966 SCL 3.46273
218 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.64325
219 / 600 回目,  0 0, FSCL: 0.12070 SCL 3.31513
220 / 600 回目,  0 0, FSCL: 0.11771 SCL 3.33009
221 / 600 回目,  1 1, FSCL: 0.13167 SCL 3.38993
222 / 600 回目,  0 0, FSCL: 0.11473 SCL 3.40587
223 / 600 回目,  0 0, FSCL: 0.13165 SCL 3.29917
224 / 600 回目,  0 0, FSCL: 0.12968 SCL 3.25828
225 / 600 回目,  0 0, FSCL: 0.11373 SCL 3.17449
226 / 600 回目,  0 0, FSCL: 0.12271 SCL 3.35302
227 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.30916
228 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.19844
229 / 600 回目,  0 0, FSCL: 0.12070 SCL 3.38990
230 / 600 回目,  0 0, FSCL: 0.19747 SCL 3.36300
231 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.33707
232 / 600 回目,  0 0, FSCL: 0.12168 SCL 3.23337
233 / 600 回目,  1 1, FSCL: 0.12367 SCL 3.20941
234 / 600 回目,  0 0, FSCL: 0.13065 SCL 3.34405
235 / 600 回目,  0 0, FSCL: 0.20944 SCL 3.36898
236 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.34605
237 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.43184
238 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.35402
239 / 600 回目,  0 0, FSCL: 0.12768 SCL 3.38891
240 / 600 回目,  0 0, FSCL: 0.11772 SCL 3.26622
241 / 600 回目,  0 0, FSCL: 0.14860 SCL 3.36599
242 / 600 回目,  0 0, FSCL: 0.12364 SCL 3.20542
243 / 600 回目,  1 1, FSCL: 0.11170 SCL 3.36400
244 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.38295
245 / 600 回目,  1 1, FSCL: 0.11968 SCL 3.32011
246 / 600 回目,  1 1, FSCL: 0.11968 SCL 3.31311
247 / 600 回目,  0 0, FSCL: 0.12268 SCL 3.37595
248 / 600 回目,  0 0, FSCL: 0.13165 SCL 4.00628
249 / 600 回目,  1 1, FSCL: 0.11668 SCL 3.39192
250 / 600 回目,  0 0, FSCL: 0.12766 SCL 3.36601
251 / 600 回目,  0 0, FSCL: 0.11469 SCL 3.36302
252 / 600 回目,  1 1, FSCL: 0.11571 SCL 3.41284
253 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.32612
254 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.38197
255 / 600 回目,  1 1, FSCL: 0.13367 SCL 3.35003
256 / 600 回目,  0 0, FSCL: 0.11971 SCL 3.32111
257 / 600 回目,  0 0, FSCL: 0.11769 SCL 3.33709
258 / 600 回目,  0 0, FSCL: 0.12564 SCL 3.43481
259 / 600 回目,  0 0, FSCL: 0.11572 SCL 3.33105
260 / 600 回目,  0 0, FSCL: 0.11173 SCL 3.38793
261 / 600 回目,  0 0, FSCL: 0.11571 SCL 3.36597
262 / 600 回目,  1 1, FSCL: 0.11671 SCL 3.23632
263 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.35602
264 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.41885
265 / 600 回目,  0 0, FSCL: 0.19248 SCL 3.27324
266 / 600 回目,  0 0, FSCL: 0.12963 SCL 3.44279
267 / 600 回目,  0 0, FSCL: 0.11769 SCL 3.41586
268 / 600 回目,  0 0, FSCL: 0.11467 SCL 3.37197
269 / 600 回目,  0 0, FSCL: 0.12165 SCL 3.41486
270 / 600 回目,  1 1, FSCL: 0.12068 SCL 3.37796
271 / 600 回目,  0 0, FSCL: 0.11572 SCL 3.17849
272 / 600 回目,  1 1, FSCL: 0.12965 SCL 3.29219
273 / 600 回目,  0 0, FSCL: 0.12065 SCL 3.32912
274 / 600 回目,  0 0, FSCL: 0.11372 SCL 3.26726
275 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.45273
276 / 600 回目,  0 0, FSCL: 0.13065 SCL 3.20744
277 / 600 回目,  0 0, FSCL: 0.11267 SCL 3.51262
278 / 600 回目,  0 0, FSCL: 0.13667 SCL 3.22237
279 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.41885
280 / 600 回目,  0 0, FSCL: 0.13564 SCL 3.35006
281 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.44378
282 / 600 回目,  1 1, FSCL: 0.12962 SCL 3.38596
283 / 600 回目,  0 0, FSCL: 0.12865 SCL 3.36200
284 / 600 回目,  0 0, FSCL: 0.11772 SCL 3.24231
285 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.36801
286 / 600 回目,  0 0, FSCL: 0.11771 SCL 3.31912
287 / 600 回目,  0 0, FSCL: 0.11966 SCL 3.32310
288 / 600 回目,  0 0, FSCL: 0.11270 SCL 3.35402
289 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.23039
290 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.32610
291 / 600 回目,  0 0, FSCL: 0.13566 SCL 3.52955
292 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.23335
293 / 600 回目,  1 1, FSCL: 0.11470 SCL 3.37196
294 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.34704
295 / 600 回目,  0 0, FSCL: 0.11472 SCL 3.20343
296 / 600 回目,  0 0, FSCL: 0.12270 SCL 3.39190
297 / 600 回目,  0 0, FSCL: 0.12969 SCL 3.41283
298 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.41985
299 / 600 回目,  0 0, FSCL: 0.12367 SCL 3.40987
300 / 600 回目,  0 0, FSCL: 0.12468 SCL 3.86866
301 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.41386
302 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.34505
303 / 600 回目,  0 0, FSCL: 0.12768 SCL 3.19944
304 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.29715
305 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.59835
306 / 600 回目,  0 0, FSCL: 0.11372 SCL 3.18648
307 / 600 回目,  0 0, FSCL: 0.11568 SCL 3.26324
308 / 600 回目,  0 0, FSCL: 0.13763 SCL 3.41788
309 / 600 回目,  0 0, FSCL: 0.11372 SCL 3.26626
310 / 600 回目,  0 0, FSCL: 0.13564 SCL 3.28321
311 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.23337
312 / 600 回目,  0 0, FSCL: 0.12270 SCL 3.42783
313 / 600 回目,  1 1, FSCL: 0.12369 SCL 3.31513
314 / 600 回目,  0 0, FSCL: 0.12269 SCL 3.26327
315 / 600 回目,  0 0, FSCL: 0.12367 SCL 3.41189
316 / 600 回目,  0 0, FSCL: 0.12371 SCL 3.35997
317 / 600 回目,  0 0, FSCL: 0.11970 SCL 3.30716
318 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.46176
319 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.25529
320 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.26127
321 / 600 回目,  0 0, FSCL: 0.13265 SCL 3.29416
322 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.30316
323 / 600 回目,  0 0, FSCL: 0.11569 SCL 3.37200
324 / 600 回目,  0 0, FSCL: 0.13264 SCL 3.28423
325 / 600 回目,  0 0, FSCL: 0.11567 SCL 3.41785
326 / 600 回目,  0 0, FSCL: 0.12271 SCL 3.30612
327 / 600 回目,  0 0, FSCL: 0.11472 SCL 3.18747
328 / 600 回目,  0 0, FSCL: 0.13265 SCL 3.28521
329 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.33504
330 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.41686
331 / 600 回目,  1 1, FSCL: 0.11771 SCL 3.28421
332 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.33809
333 / 600 回目,  0 0, FSCL: 0.11469 SCL 3.20943
